rank,country_full,country_abrv,total_points,previous_points,rank_change,cur_year_avg,cur_year_avg_weighted,last_year_avg,last_year_avg_weighted,two_year_ago_avg,two_year_ago_weighted,three_year_ago_avg,three_year_ago_weighted,confederation,rank_date
43,Montenegro,MNE,651.58,671,0,364.82,364.82,407.55,203.78,107.02,32.11,254.43,50.89,UEFA,2018-06-07
44,Greece,GRE,649.82,657,0,289.32,289.32,443.04,221.52,202.59,60.78,391.02,78.2,UEFA,2018-06-07
45,Egypt,EGY,649.43,636,1,208.27,208.27,582.07,291.04,331.62,99.48,253.18,50.64,CAF,2018-06-07
46,Czech Republic,CZE,640.7,647,-1,264.13,264.13,278.74,139.37,338.81,101.64,677.8,135.56,UEFA,2018-06-07
47,Ghana,GHA,623.69,603,3,261.21,261.21,339.92,169.96,332.99,99.9,463.15,92.63,CAF,2018-06-07
48,Nigeria,NGA,617.79,635,-1,251.21,251.21,474.22,237.11,198.21,59.46,350.01,70,CAF,2018-06-07
49,Bulgaria,BUL,614.39,583,4,269.64,269.64,441.79,220.89,207.9,62.37,307.4,61.48,UEFA,2018-06-07
49,Cameroon,CMR,613.88,603,1,206.63,206.63,535.46,267.73,232.33,69.7,349.12,69.82,CAF,2018-06-07
51,Hungary,HUN,611.82,604,-2,199.79,199.79,369.81,184.91,525.07,157.52,348.02,69.6,UEFA,2018-06-07
52,Burkina Faso,BFA,604.15,582,2,246.29,246.29,484.99,242.5,228.38,68.51,234.28,46.86,CAF,2018-06-07
53,Norway,NOR,595.99,608,-5,414.26,414.26,61.88,30.94,320.27,96.08,273.54,54.71,UEFA,2018-06-07
54,Jamaica,JAM,588.13,587,-2,339.39,339.39,150.61,75.3,349.99,105,342.17,68.43,CONCACAF,2018-06-07
55,Panama,PAN,571.17,574,0,276.92,276.92,309,154.5,326.3,97.89,209.29,41.86,CONCACAF,2018-06-07
56,Slovenia,SVN,558.05,495,9,247.01,247.01,374.61,187.3,203.94,61.18,312.78,62.56,UEFA,2018-06-07
57,Korea Republic,KOR,543.67,520,4,162.13,162.13,447.58,223.79,305.97,91.79,329.82,65.96,AFC,2018-06-07
58,Albania,ALB,537.79,549,-2,233.86,233.86,232.07,116.04,222.82,66.85,605.25,121.05,UEFA,2018-06-07
59,Bolivia,BOL,536.08,548,-2,291.14,291.14,313.86,156.93,222.28,66.68,106.6,21.32,CONMEBOL,2018-06-07
60,Ecuador,ECU,523.85,506,3,67.14,67.14,387.5,193.75,630.02,189.01,369.77,73.95,CONMEBOL,2018-06-07
61,Japan,JPN,520.75,528,-1,164.51,164.51,413.01,206.5,273.24,81.97,338.88,67.78,AFC,2018-06-07
