Fecha,México,Alemania,Brasil,China,España,Italia,Portugal,Rusia,Turquía,Perú,Sudáfrica,Polonia,Indonesia,Chile,Colombia,Hong Kong,Corea,Malasia,Tailandia,USA,Francia,Grecia
17/06/2016,174.28286819035,18.9438931138831,331.979680886559,127.779813778062,96.3927476872754,134.571463855508,293.227631415675,258.650490367552,260.021875842827,154.503129301431,299.867124776637,92.0162632215901,195.261513571758,109.218376237716,230.299912503936,53.5223690109814,62.7229960190264,167.93063573368,120.123215855161,14.5713981183882,36.332101261765,870.954661794925
20/06/2016,167.788333147296,18.8952012979043,322.997769652635,123.752908338438,92.6068657849222,128.931320857147,279.860754840528,244.789656152913,247.147815261107,148.097868256568,286.953779488144,89.4191119130786,190.736810058326,102.946925118194,221.393678914097,53.4738532775732,60.7244582901345,160.942644801758,117.030730958387,15.2221493103165,34.8272815532364,873.678243189808
21/06/2016,165.445169709261,18.8986984641928,320.444507561682,122.420622375547,92.9255447480997,129.134416173331,280.461272669601,243.386284730387,247.595309402633,145.319648975475,288.061463110759,90.2190409369802,188.497916900095,101.643834172978,220.256828710755,53.2042876367625,59.7131805589216,159.079100299231,114.901931012999,15.2291563978469,34.6858441426249,884.920673861911
22/06/2016,162.848395610104,17.0195963462412,319.979742005824,122.854075849374,91.4658558343707,127.028410708675,276.962667031476,238.908123174222,241.54087643473,143.26826213278,282.40043531845,89.53241031938,187.451420080668,99.3952481334376,216.648623609616,52.9311304185879,59.2324939875974,158.755079234836,116.119226200974,15.3117989795758,34.8785865584428,894.986970759759
23/06/2016,158.145552670292,17.020185085908,313.250260171361,119.878076771848,89.1502187816306,124.67705776708,269.626410066786,232.680083334953,235.734523628245,138.416476104734,276.044841354258,88.0743954761541,182.094603060457,94.998278652349,207.571730044238,52.8872226887859,56.8842477454133,152.592564110347,114.667287342558,15.1259852822802,33.2718577505123,828.673897364657
24/06/2016,180.910378232104,20.5318909334502,333.730072451949,126.696306988495,122.716129482926,160.598635902214,316.988830857449,253.263335985027,255.250596282446,158.447024332645,290.720942456536,105.062891464349,193.36785211284,111.496841207857,228.357621990648,54.0420325976958,61.1336908022767,162.94616300966,120.395421103598,16.4151726209525,48.1512483363747,949.183588645906
27/06/2016,184.98006053456,21.9719707233289,338.396403303452,129.374652158964,124.373785871127,167.771454304248,329.261138806217,257.914976788457,258.128676084185,163.4987806074,300.124333818782,107.017236361595,195.443654351661,115.060632760905,235.582218400838,53.1323731401513,62.3141833941939,165.791533125861,121.058522256999,12.4714381132455,47.5298767016049,937.535358490437
28/06/2016,174.970108880244,20.7396793179549,323.76747402004,126.565438603973,113.715489487143,158.693680018217,310.843072963029,248.314495653693,251.383591193716,155.095309182552,292.936127197418,104.445829448473,192.040148834635,108.2652624764,222.648980772355,50.1773306998422,61.5781933413466,163.143283853272,117.130452920881,12.4870053208521,44.4999722623268,936.394014420989
29/06/2016,160.366298358727,19.2584037084754,310.142440806691,120.127556997928,104.973010688919,148.939072680088,293.351995780089,229.663082464247,238.039553850321,139.608497051815,278.311107626074,98.4773203774982,183.463829424996,97.0254394243278,204.909346385939,51.6611335722604,57.4506170190273,154.506344201024,113.427432448268,12.1432421935766,40.5197748667206,910.988704585123
30/06/2016,156.125495161593,19.0096474446428,307.857550744707,121.766005037698,96.4719112753458,138.749575884284,279.701986910749,227.474044835084,238.499235677253,136.741318968225,277.761119337057,97.9205876478679,183.339210074196,92.2913361938748,201.494816186989,52.0970925985637,55.0990855320631,155.489717428555,113.331589652066,12.4791242444372,38.3004567983976,917.546650761333
