Marca,Submarca,Version,Modelo,Transmision,Combustible,Cilindros,Potencia,Tamaño,Categoria,Rend_Ciudad,Ren_Carretera,Rend_Comb,Rend_Ajustado,CO2,Nox,Calificacion_Gas,Calificacion_ContamAire
MAZDA,MAZDA3,s 4PTAS 2.5L 4CIL 188HP AUT R18,2017,AUT,Gasolina,4,188,2.488,AUTOS COMPACTOS,14.2,21.3,16.71,12.53,186,9,7,9
MAZDA,MAZDA3,s GRAND TOURING 4PTAS 2.5L 4CIL 188HP AUT R18,2017,AUT,Gasolina,4,188,2.488,AUTOS COMPACTOS,14.2,21.3,16.71,12.53,186,9,7,9
MAZDA,MAZDA3,i TOURING 5PTAS 2.5L 4CIL 188HP AUT R16,2017,AUT,Gasolina,4,188,2.488,AUTOS COMPACTOS,14.2,21.3,16.71,12.53,186,9,7,9
CHEVROLET,CRUZE,4PTS 1.4L 4CIL 138HP AUT TURBO,2014,AUT,Gasolina,4,138,1.4,AUTOS COMPACTOS,14.16,22.7,17.05,12.78,182,16,8,8
DODGE,DART,4PTS 1.4L 4CIL 160HP AUT TURBO,2013,AUT,Gasolina,4,160,1.4,AUTOS COMPACTOS,14.12,22.42,16.94,12.71,183,31,7,6
HONDA,FIT,LX 5PTS 1.5L 4CIL 118HP MAN,2011,M5,Gasolina,4,118,1.5,AUTOS COMPACTOS,14.1,18.3,15.72,11.79,198,11,7,9
HONDA,FIT,LX 5PTS 1.5L 4CIL 118HP AUT,2011,AUT,Gasolina,4,118,1.5,AUTOS COMPACTOS,14.1,19.6,16.14,12.1,193,16,7,8
HONDA,FIT,EX 5PTS 1.5L 4CIL 118HP MAN,2011,M5,Gasolina,4,118,1.5,AUTOS COMPACTOS,14.1,18.3,15.72,11.79,198,11,7,9
HONDA,FIT,EX 5PTS 1.5L 4CIL 118HP AUT,2011,AUT,Gasolina,4,118,1.5,AUTOS COMPACTOS,14.1,19.6,16.14,12.1,193,16,7,8
HONDA,FIT,EX 5PTS 1.5L 4CIL 118HP AUT,2012,AUT,Gasolina,4,118,1.5,AUTOS COMPACTOS,14.1,19.6,16.14,12.1,193,16,7,8
HONDA,FIT,EX 5PTS 1.5L 4CIL 118HP MAN,2012,MAN,Gasolina,4,118,1.5,AUTOS COMPACTOS,14.1,18.3,15.72,11.79,198,11,7,9
HONDA,FIT,LX 5PTS 1.5L 4CIL 118HP AUT,2012,AUT,Gasolina,4,118,1.5,AUTOS COMPACTOS,14.1,19.6,16.14,12.1,193,16,7,8
HONDA,FIT,LX 5PTS 1.5L 4CIL 118HP MAN,2012,MAN,Gasolina,4,118,1.5,AUTOS COMPACTOS,14.1,18.3,15.72,11.79,198,11,7,9
HONDA,FIT,LX 5PTS 1.5L 4CIL 118HP MAN,2013,MAN,Gasolina,4,118,1.5,AUTOS COMPACTOS,14.1,18.3,15.72,11.79,198,11,7,9
HONDA,FIT,LX 5PTS 1.5L 4CIL 118HP AUT,2013,AUT,Gasolina,4,118,1.5,AUTOS COMPACTOS,14.1,19.6,16.14,12.1,193,16,7,8
HONDA,FIT,EX 5PTS 1.5L 4CIL 118HP MAN,2013,MAN,Gasolina,4,118,1.5,AUTOS COMPACTOS,14.1,18.3,15.72,11.79,198,10,7,9
HONDA,FIT,EX 5PTS 1.5L 4CIL 118HP AUT,2013,AUT,Gasolina,4,118,1.5,AUTOS COMPACTOS,14.1,19.6,16.14,12.1,193,20,7,7
MAZDA,MAZDA3,HATCHBACK 5PTS 2.5L 4CIL 185HP AUT,2014,AUT,Gasolina,4,185,2.5,AUTOS COMPACTOS,14.1,21.1,16.57,12.43,188,9,7,9
MAZDA,MAZDA3,HATCHBACK 5PTS 2.5L 4CIL 188HP MAN,2015,MAN,Gasolina,4,188,2.5,AUTOS COMPACTOS,14.1,21.7,18.11,13.59,172,9,8,9
MAZDA,MAZDA3,SEDAN 4PTS 2.5L 4CIL 188HP MAN,2016,MAN,Gasolina,4,188,2.5,AUTOS COMPACTOS,14.1,21.5,18.06,13.55,172,9,8,9
MAZDA,MAZDA3,HATCHBACK 5PTS 2.5L 4CIL 188HP AUT,2016,AUT,Gasolina,4,188,2.5,AUTOS COMPACTOS,14.1,21,17.93,13.44,173,9,8,9
MAZDA,MAZDA6,SEDAN 4PTAS 2.5L 4CIL 185HP AUT,2016,AUT,Gasolina,4,188,2.5,AUTOS COMPACTOS,14.1,20.6,16.43,12.33,189,5,7,9
MAZDA,MAZDA3,s 5PTAS 2.5L 4CIL 188HP MAN R16,2016,MAN,Gasolina,4,188,2.488,AUTOS COMPACTOS,14.1,21.7,16.74,12.55,186,8,7,9
MAZDA,MAZDA3,s GRAND TOURING 5PTAS 2.5L 4CIL 188HP AUT R18,2016,AUT,Gasolina,4,188,2.488,AUTOS COMPACTOS,14.1,21,16.55,12.41,188,9,7,9
MAZDA,MAZDA3,s 4PTAS 2.5L 4CIL 188HP MAN R18,2017,MAN,Gasolina,4,188,2.488,AUTOS COMPACTOS,14.1,21.5,16.68,12.51,186,8,7,9
MAZDA,MAZDA3,i TOURING 5PTAS 2.5L 4CIL 188HP MAN R16,2017,MAN,Gasolina,4,188,2.488,AUTOS COMPACTOS,14.1,21.7,16.74,12.55,186,8,7,9
MAZDA,MAZDA3,s 5PTAS 2.5L 4CIL 188HP AUT R18,2017,AUT,Gasolina,4,188,2.488,AUTOS COMPACTOS,14.1,21,16.55,12.41,188,9,7,9
MAZDA,MAZDA3,s GRAND TOURING 5PTAS 2.5L 4CIL 188HP AUT R18,2017,AUT,Gasolina,4,188,2.488,AUTOS COMPACTOS,14.1,21,16.55,12.41,188,9,7,9
MAZDA,MAZDA6,i SPORT 4PTAS 2.5L 4CIL 188HP AUT R17,2017,AUT,Gasolina,4,188,2.488,AUTOS COMPACTOS,14.1,20.6,17.81,13.36,175,5,8,9
